order_id,order_date,customer_id,city,country,device,channel,product_count,order_revenue,discount_amount,refund_amount,order_status,payment_method
ORD-2024-00001,2024-01-01,CUST-1288,Kayseri,TR,mobile,organic,5,3871.92,945.2,0,completed,bank_transfer
ORD-2024-00002,2024-01-01,CUST-0223,Kayseri,TR,desktop,google,3,3538.91,243.19,0,cancelled,credit_card
ORD-2024-00003,2024-01-01,CUST-0738,Bursa,TR,mobile,direct,6,7229.55,1623.74,0,cancelled,digital_wallet
ORD-2024-00004,2024-01-01,CUST-0938,Ankara,TR,mobile,organic,4,6828.45,556.77,0,completed,digital_wallet
ORD-2024-00005,2024-01-01,CUST-0441,Istanbul,TR,mobile,direct,4,3482.1,425.51,0,completed,credit_card
ORD-2024-00006,2024-01-01,CUST-1203,Gaziantep,TR,mobile,meta,4,8510.39,228.2,0,completed,bank_transfer
ORD-2024-00007,2024-01-01,CUST-0762,Adana,TR,mobile,meta,5,9982.14,2187.76,0,completed,credit_card
ORD-2024-00008,2024-01-01,CUST-1112,Antalya,TR,desktop,organic,3,2172.67,355.1,0,cancelled,credit_card
ORD-2024-00009,2024-01-01,CUST-1517,Ankara,TR,mobile,google,1,560.7,28.05,0,completed,bank_transfer
ORD-2024-00010,2024-01-01,CUST-0401,Istanbul,TR,mobile,organic,3,7286.39,1792.31,0,completed,credit_card
ORD-2024-00011,2024-01-01,CUST-0097,Bursa,TR,desktop,direct,3,2139.94,172.71,0,cancelled,credit_card
ORD-2024-00012,2024-01-02,CUST-0242,Adana,TR,desktop,organic,1,643.15,11.69,0,completed,digital_wallet
ORD-2024-00013,2024-01-02,CUST-1504,Mersin,TR,mobile,google,5,6093.38,552.15,0,completed,credit_card
ORD-2024-00014,2024-01-02,CUST-1470,Antalya,TR,desktop,google,5,12939.15,819.64,6957.04,refunded,credit_card
ORD-2024-00015,2024-01-02,CUST-0797,Adana,TR,mobile,google,7,17060.79,3983.11,0,completed,digital_wallet
ORD-2024-00016,2024-01-02,CUST-1140,Istanbul,TR,desktop,google,1,2032.69,124.73,0,completed,digital_wallet
ORD-2024-00017,2024-01-02,CUST-1066,Ankara,TR,desktop,google,5,4862.45,935.79,0,completed,digital_wallet
ORD-2024-00018,2024-01-02,CUST-1645,Adana,TR,desktop,direct,5,8218.75,988.74,0,completed,bank_transfer
ORD-2024-00019,2024-01-02,CUST-1605,Kayseri,TR,mobile,meta,3,5288.23,685.02,0,completed,credit_card
ORD-2024-00020,2024-01-02,CUST-0069,Izmir,TR,mobile,organic,4,6294.16,926.65,0,completed,bank_transfer
ORD-2024-00021,2024-01-03,CUST-1561,Konya,TR,mobile,meta,1,264.21,10.93,0,completed,credit_card
ORD-2024-00022,2024-01-03,CUST-1358,Bursa,TR,desktop,meta,4,2069.15,409.63,2042.92,refunded,credit_card
ORD-2024-00023,2024-01-03,CUST-0017,Kayseri,TR,desktop,meta,2,387.46,85.73,0,completed,credit_card
ORD-2024-00024,2024-01-03,CUST-0013,Konya,TR,desktop,google,4,1797.48,82.32,1306.34,refunded,credit_card
ORD-2024-00025,2024-01-03,CUST-1001,Adana,TR,mobile,google,6,8144.27,1706.58,0,completed,digital_wallet
ORD-2024-00026,2024-01-03,CUST-1218,Mersin,TR,mobile,organic,1,689.48,126.71,0,completed,credit_card
ORD-2024-00027,2024-01-03,CUST-1516,Adana,TR,desktop,google,6,3679.6,760.59,0,completed,credit_card
ORD-2024-00028,2024-01-03,CUST-0344,Bursa,TR,desktop,google,4,6978.54,760.54,0,completed,credit_card
ORD-2024-00029,2024-01-03,CUST-1544,Antalya,TR,mobile,meta,1,514.42,102.05,0,completed,credit_card
ORD-2024-00030,2024-01-03,CUST-1261,Gaziantep,TR,desktop,tiktok,3,1336.18,9.41,0,cancelled,digital_wallet
ORD-2024-00031,2024-01-03,CUST-0990,Gaziantep,TR,desktop,google,6,5322.56,1324.84,0,completed,digital_wallet
ORD-2024-00032,2024-01-03,CUST-0698,Konya,TR,mobile,meta,1,2055.36,507.67,0,completed,digital_wallet
ORD-2024-00033,2024-01-04,CUST-0224,Bursa,TR,desktop,google,1,2873.98,445.92,0,completed,credit_card
ORD-2024-00034,2024-01-04,CUST-0442,Antalya,TR,tablet,meta,7,12319.89,1875.1,0,completed,credit_card
ORD-2024-00035,2024-01-04,CUST-0823,Gaziantep,TR,desktop,google,1,248.58,8.05,0,completed,digital_wallet
ORD-2024-00036,2024-01-04,CUST-1039,Antalya,TR,mobile,google,2,1656.86,412.03,0,completed,credit_card
ORD-2024-00037,2024-01-04,CUST-1527,Mersin,TR,mobile,organic,1,1867.6,145.58,0,completed,bank_transfer
ORD-2024-00038,2024-01-04,CUST-1233,Mersin,TR,desktop,google,4,1308.08,319.05,0,completed,bank_transfer
ORD-2024-00039,2024-01-04,CUST-0147,Istanbul,TR,mobile,organic,3,955.07,135.88,0,completed,credit_card
ORD-2024-00040,2024-01-04,CUST-1590,Izmir,TR,desktop,organic,3,1961.54,29.66,0,cancelled,digital_wallet
ORD-2024-00041,2024-01-04,CUST-1297,Bursa,TR,mobile,email,4,6402.75,1079.04,0,completed,bank_transfer
ORD-2024-00042,2024-01-04,CUST-1580,Ankara,TR,desktop,organic,4,4423.02,1073.42,0,completed,credit_card
ORD-2024-00043,2024-01-04,CUST-1465,Kayseri,TR,mobile,google,5,12776.44,2454.8,0,completed,credit_card
ORD-2024-00044,2024-01-04,CUST-0600,Antalya,TR,mobile,google,2,5264.56,1254.74,0,completed,bank_transfer
ORD-2024-00045,2024-01-04,CUST-0372,Gaziantep,TR,mobile,meta,4,5446.02,1268.64,0,cancelled,credit_card
ORD-2024-00046,2024-01-04,CUST-1346,Konya,TR,mobile,tiktok,2,1917.62,372.03,0,completed,credit_card
ORD-2024-00047,2024-01-04,CUST-0052,Adana,TR,desktop,google,7,5700.15,710.19,0,cancelled,credit_card
ORD-2024-00048,2024-01-05,CUST-1758,Gaziantep,TR,tablet,meta,1,1676.07,74.15,0,completed,bank_transfer
ORD-2024-00049,2024-01-05,CUST-1313,Istanbul,TR,mobile,google,2,4032.52,545.4,2377.34,refunded,credit_card
ORD-2024-00050,2024-01-05,CUST-0855,Gaziantep,TR,mobile,meta,4,7647.84,1328.76,0,completed,bank_transfer
ORD-2024-00051,2024-01-05,CUST-0567,Izmir,TR,mobile,tiktok,1,424.24,39.87,0,completed,digital_wallet
ORD-2024-00052,2024-01-05,CUST-0119,Adana,TR,mobile,organic,5,9517.73,453.15,9023.63,refunded,credit_card
ORD-2024-00053,2024-01-05,CUST-0047,Konya,TR,mobile,email,5,5720.9,1082.42,0,cancelled,bank_transfer
ORD-2024-00054,2024-01-05,CUST-0201,Mersin,TR,mobile,meta,4,9891.46,1351.08,0,completed,credit_card
ORD-2024-00055,2024-01-05,CUST-1229,Bursa,TR,desktop,email,7,6203.54,452.91,0,completed,credit_card
ORD-2024-00056,2024-01-05,CUST-1195,Mersin,TR,mobile,google,5,7199.69,68.05,6502.13,refunded,digital_wallet
ORD-2024-00057,2024-01-06,CUST-0197,Gaziantep,TR,mobile,email,4,10388.07,747.35,0,completed,credit_card
ORD-2024-00058,2024-01-06,CUST-1581,Antalya,TR,desktop,meta,1,848.43,106.04,0,completed,credit_card
ORD-2024-00059,2024-01-06,CUST-1313,Bursa,TR,mobile,direct,7,833.07,123.78,0,completed,digital_wallet
ORD-2024-00060,2024-01-06,CUST-1453,Antalya,TR,mobile,google,1,2578.38,212.74,0,completed,bank_transfer
ORD-2024-00061,2024-01-06,CUST-0743,Antalya,TR,desktop,google,7,13578.94,1679.76,0,completed,credit_card
ORD-2024-00062,2024-01-06,CUST-0027,Bursa,TR,mobile,tiktok,1,3148.54,708.7,0,completed,credit_card
